,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,416,381,433,584,738,836,951,923,711,713,667,552
Expenses +,356,372,348,447,671,735,828,860,708,673,527,518
Operating Profit,60,8,84,136,67,102,123,64,3,40,140,34
OPM %,14%,2%,20%,23%,9%,12%,13%,7%,0%,6%,21%,6%
Other Income +,-4,-6,1,9,-23,-7,4,4,7,32,3,63
Interest,20,18,31,51,57,67,85,79,72,72,72,60
Depreciation,12,12,16,25,25,28,37,38,32,28,26,25
Profit before tax,25,-28,38,70,-38,0,5,-50,-95,-28,45,12
Tax %,15%,19%,33%,34%,11%,134%,-14%,31%,31%,31%,35%,-120%
Net Profit,21,-22,26,46,-34,-0,6,-34,-66,-19,29,27
EPS in Rs,,,,,-14.11,-0.06,2.32,-14.44,-27.61,-7.73,10.46,9.42
