,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,26,30,35,40,47,53,65,74,89,101,83,98,116
Expenses +,19,23,28,33,37,46,56,64,70,81,68,78,91
Operating Profit,7,7,7,7,10,7,9,10,19,20,15,20,24
OPM %,28%,23%,20%,18%,21%,13%,14%,14%,21%,20%,18%,20%,21%
Other Income +,0,-1,-1,-0,1,4,3,0,2,1,5,3,2
Interest,2,2,1,1,1,1,1,1,1,1,1,0,0
Depreciation,2,3,3,3,2,2,3,3,4,6,5,4,4
Profit before tax,3,2,2,3,7,8,9,7,17,14,14,18,22
Tax %,6%,36%,45%,37%,25%,25%,28%,16%,28%,22%,29%,26%,
Net Profit,3,1,1,2,5,6,6,6,12,11,10,13,16
EPS in Rs,1.40,0.43,0.50,0.89,2.23,2.17,2.28,2.01,4.28,3.85,3.57,4.71,5.79
