,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,67,69,71,87,86,101,136,131,134,158,177
Expenses +,53,53,60,182,76,88,118,113,112,134,145
Operating Profit,13,16,11,-95,10,13,18,17,22,24,31
OPM %,20%,23%,16%,-109%,12%,13%,13%,13%,16%,15%,18%
Other Income +,1,-2,0,220,10,5,4,4,3,4,5
Interest,1,1,1,0,0,1,3,2,2,1,0
Depreciation,3,2,2,2,1,2,3,4,4,3,3
Profit before tax,11,11,9,123,19,15,16,15,19,24,33
Tax %,45%,46%,42%,25%,38%,34%,39%,35%,36%,38%,37%
Net Profit,6,6,5,92,11,10,10,10,12,15,21
EPS in Rs,,,,29.80,,,3.32,3.47,4.26,5.10,7.05
