,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,485","4,494","5,137","5,826","6,130","6,366","6,505","6,802","7,957","7,405","8,889","13,127","15,131"
Expenses +,"2,360","3,832","4,484","5,137","5,395","5,561","5,630","5,921","6,969","6,324","7,085","10,956","12,751"
Operating Profit,"1,125",662,653,688,735,805,874,881,988,"1,081","1,804","2,171","2,380"
OPM %,32%,15%,13%,12%,12%,13%,13%,13%,12%,15%,20%,17%,16%
Other Income +,21,21,22,29,18,38,25,22,19,28,23,71,153
Interest,164,199,230,233,187,176,187,197,218,225,229,322,396
Depreciation,136,178,236,267,279,286,318,352,381,403,456,537,565
Profit before tax,845,305,209,217,286,382,395,354,409,481,"1,142","1,382","1,573"
Tax %,18%,17%,9%,7%,11%,17%,11%,12%,23%,23%,26%,20%,
Net Profit,697,254,190,202,256,317,351,312,315,371,844,"1,099","1,230"
EPS in Rs,96.70,35.32,26.36,27.92,35.28,43.46,48.26,43.00,43.46,51.21,116.73,152.09,170.15
