,Sep 2011,Sep 2012,Sep 2013,Sep 2014,Sep 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,128,181,197,238,519,301,336,401,448,535,370,513,675
Expenses +,81,101,89,92,145,93,85,99,117,238,142,193,233
Operating Profit,47,79,109,146,373,209,251,301,331,297,229,320,442
OPM %,36%,44%,55%,61%,72%,69%,75%,75%,74%,55%,62%,62%,66%
Other Income +,3,32,10,8,6,15,8,11,6,4,23,21,19
Interest,204,179,203,240,231,194,222,208,205,214,215,183,170
Depreciation,40,44,21,24,28,23,60,63,52,53,57,55,56
Profit before tax,-195,-112,-105,-110,120,6,-23,41,80,34,-20,103,234
Tax %,-6%,-3%,-4%,-1%,-0%,48%,-25%,13%,9%,19%,-10%,10%,
Net Profit,-207,-116,-109,-111,121,3,-29,36,72,27,-22,93,221
EPS in Rs,-27.45,-12.89,-12.84,-13.81,16.31,0.81,0.88,6.38,10.19,5.23,-0.66,13.48,28.75
