,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,942,"1,007",941,574,392,381,455,89,46,5,29,4,5
Expenses +,792,908,843,517,340,271,299,105,61,44,32,12,565
Operating Profit,150,99,99,57,52,110,156,-16,-14,-39,-3,-8,-560
OPM %,16%,10%,10%,10%,13%,29%,34%,-18%,-31%,-774%,-11%,-178%,"-11,361%"
Other Income +,19,115,57,-150,4,0,-39,5,3,30,8,-546,4
Interest,72,100,267,378,442,411,295,29,2,1,1,1,1
Depreciation,28,42,68,72,89,92,78,23,17,18,17,16,16
Profit before tax,68,72,-179,-544,-476,-393,-256,-64,-30,-28,-13,-571,-574
Tax %,73%,99%,12%,-6%,-1%,0%,-2%,-2%,-6%,1%,1%,-0%,
Net Profit,18,1,-157,-575,-480,-392,-262,-65,-32,-28,-13,-571,-574
EPS in Rs,4.66,0.28,-41.19,-150.97,-125.86,-102.96,-68.86,-16.73,-6.01,-5.31,-2.38,-84.03,-112.90
