,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,070","5,294","6,140","7,058","7,795","7,780","7,614","7,722","8,515","8,685","9,562","10,889","11,268"
Expenses +,"3,295","4,401","5,148","5,897","6,475","6,261","6,102","6,104","6,775","6,892","7,560","8,637","9,045"
Operating Profit,774,893,992,"1,162","1,320","1,518","1,512","1,617","1,740","1,792","2,002","2,252","2,223"
OPM %,19%,17%,16%,16%,17%,20%,20%,21%,20%,21%,21%,21%,20%
Other Income +,58,55,100,126,154,217,296,291,222,205,325,308,335
Interest,29,54,59,54,40,48,54,53,60,50,31,39,50
Depreciation,95,103,85,97,115,133,143,162,177,220,240,253,266
Profit before tax,708,790,948,"1,136","1,319","1,554","1,611","1,693","1,725","1,728","2,056","2,269","2,242"
Tax %,20%,19%,19%,19%,19%,19%,21%,20%,16%,16%,18%,23%,
Net Profit,569,644,766,916,"1,068","1,254","1,280","1,358","1,446","1,448","1,695","1,742","1,731"
EPS in Rs,3.27,3.70,4.38,5.24,6.07,7.11,7.25,7.69,8.17,8.18,9.58,9.84,9.77
