,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,209,305,514,877,"1,072","1,022",454,294,379,248,105
Expenses +,190,271,460,773,997,"1,048",501,363,758,269,129
Operating Profit,18,34,53,105,75,-26,-47,-70,-379,-21,-25
OPM %,9%,11%,10%,12%,7%,-3%,-10%,-24%,-100%,-8%,-24%
Other Income +,7,9,9,7,27,11,-73,28,-181,5,-314
Interest,2,5,10,19,28,69,54,94,129,210,250
Depreciation,2,2,4,7,10,18,13,9,6,6,6
Profit before tax,21,34,48,86,64,-102,-187,-144,-695,-231,-594
Tax %,28%,33%,35%,34%,39%,23%,31%,25%,-16%,-1%,-1%
Net Profit,15,23,31,57,39,-79,-128,-108,-806,-232,-600
EPS in Rs,2.14,3.18,4.32,7.94,5.40,-10.94,-17.82,-15.05,-111.88,-32.28,-83.31
