,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"6,003","6,640","7,351","7,738","7,993","6,637","6,780","6,815","7,252","9,637","11,602","12,425","13,074"
Expenses +,"5,394","6,017","6,581","6,986","7,201","6,271","5,988","5,976","6,466","8,345","10,058","10,707","11,277"
Operating Profit,609,623,770,752,792,366,791,839,786,"1,292","1,544","1,719","1,797"
OPM %,10%,9%,10%,10%,10%,6%,12%,12%,11%,13%,13%,14%,14%
Other Income +,105,117,56,170,-77,38,88,73,124,-163,91,88,192
Interest,121,70,84,87,82,117,92,43,52,78,69,73,68
Depreciation,99,96,105,129,133,117,126,116,123,242,255,278,288
Profit before tax,494,574,637,707,500,170,662,753,735,809,"1,311","1,456","1,633"
Tax %,41%,25%,26%,26%,43%,118%,30%,25%,36%,34%,24%,26%,
Net Profit,312,417,445,510,273,-37,455,556,457,460,930,"1,015","1,195"
EPS in Rs,4.11,5.76,6.03,7.77,4.01,-0.09,6.17,7.85,6.47,4.99,9.30,10.15,11.57
