,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,437,"1,190","1,919","2,384","2,762","4,206","5,227","7,891","9,403","9,701","10,166","9,564","10,389"
Expenses +,344,926,"1,446","1,859","2,075","3,225","4,067","6,420","7,638","7,631","8,032","8,788","9,496"
Operating Profit,93,264,473,524,687,981,"1,160","1,472","1,765","2,070","2,133",776,893
OPM %,21%,22%,25%,22%,25%,23%,22%,19%,19%,21%,21%,8%,9%
Other Income +,2,3,7,18,7,16,12,41,46,105,70,-22,245
Interest,17,59,115,201,354,519,555,590,872,"1,136","1,174","1,057","1,101"
Depreciation,19,44,76,100,206,200,245,292,362,470,443,400,399
Profit before tax,59,164,290,242,133,277,372,631,577,569,586,-704,-362
Tax %,33%,34%,17%,23%,34%,17%,4%,10%,6%,29%,29%,22%,
Net Profit,39,108,241,186,88,230,358,578,547,405,437,-550,-180
EPS in Rs,11.12,30.69,68.47,52.70,7.48,19.62,26.15,42.23,40.38,26.16,19.49,-37.54,-7.64
