,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,739","2,035","1,620","1,596","1,523","1,015","1,204","1,558","1,854","1,325","1,252","2,161","2,446"
Expenses +,"1,477","1,819","1,474","1,520","1,495","1,011","1,158","1,478","1,738","1,248","1,266","2,100","2,341"
Operating Profit,261,216,147,75,28,4,45,80,116,78,-14,61,105
OPM %,15%,11%,9%,5%,2%,0%,4%,5%,6%,6%,-1%,3%,4%
Other Income +,25,25,-46,-5,99,-32,10,15,-18,20,-2,"2,533","2,529"
Interest,94,126,158,187,239,282,270,277,278,275,263,14,-105
Depreciation,93,90,101,109,79,75,66,61,57,66,64,62,59
Profit before tax,99,25,-158,-226,-191,-385,-282,-244,-237,-242,-342,"2,517","2,681"
Tax %,21%,-0%,21%,14%,2%,-2%,-0%,0%,-0%,1%,-0%,6%,
Net Profit,78,25,-124,-194,-188,-395,-282,-243,-237,-240,-343,"2,374","2,528"
EPS in Rs,5.33,1.72,-8.47,-13.25,-12.84,-26.95,-19.23,-16.57,-16.18,-16.41,-23.38,79.01,81.71
