,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,360","1,667","1,182","1,348","1,588","1,641","1,818","2,024","2,280","2,317","2,130","3,027","3,553"
Expenses +,"1,111","1,382","1,058","1,188","1,333","1,351","1,506","1,692","1,975","2,037","1,795","2,495","2,976"
Operating Profit,249,285,123,159,256,290,313,332,305,280,336,532,577
OPM %,18%,17%,10%,12%,16%,18%,17%,16%,13%,12%,16%,18%,16%
Other Income +,8,-16,7,3,18,6,22,7,3,13,6,21,38
Interest,23,59,40,60,46,48,30,36,47,39,13,11,14
Depreciation,51,56,28,39,48,47,59,91,59,76,69,74,76
Profit before tax,184,156,62,63,180,200,245,212,202,177,260,468,525
Tax %,-3%,4%,7%,-1%,16%,15%,21%,22%,26%,29%,26%,33%,
Net Profit,190,150,58,63,150,170,193,166,149,125,191,313,370
EPS in Rs,6.96,5.52,2.48,2.71,6.70,7.60,8.57,7.34,6.68,6.78,8.62,14.09,16.60
