,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,660,683,649,702,735,733,744,825
Expenses +,278,262,275,313,289,311,331,375
Operating Profit,382,421,374,389,447,422,413,450
OPM %,58%,62%,58%,55%,61%,58%,56%,55%
Other Income +,61,66,59,76,78,48,28,37
Interest,0,0,0,0,7,6,5,6
Depreciation,97,107,104,113,131,133,129,122
Profit before tax,345,379,330,352,386,330,307,359
Tax %,34%,26%,33%,33%,17%,33%,36%,
Net Profit,227,282,221,237,319,222,197,250
EPS in Rs,4.71,5.84,4.57,4.90,6.61,4.59,4.08,5.18
