,Mar 2009,Mar 2010,Mar 2011,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,103,106,114,179,187,198,229,211,225,171,251,281,288
Expenses +,93,103,104,161,170,183,214,194,207,166,226,257,268
Operating Profit,11,3,10,18,17,15,15,17,18,5,25,24,20
OPM %,10%,3%,9%,10%,9%,7%,6%,8%,8%,3%,10%,9%,7%
Other Income +,0,5,1,1,1,1,3,2,1,2,1,5,5
Interest,5,6,7,7,7,6,8,9,13,13,12,11,10
Depreciation,2,3,3,5,7,7,6,7,6,8,10,9,9
Profit before tax,4,-1,1,7,5,3,3,3,-0,-14,4,9,6
Tax %,26%,-57%,60%,23%,25%,90%,114%,87%,"1,175%",5%,-15%,38%,
Net Profit,3,-1,0,5,4,1,-0,0,2,-13,5,6,3
EPS in Rs,2.85,-1.36,0.39,4.56,2.82,1.10,1.24,1.96,2.67,-8.62,3.20,3.78,2.01
