,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,150,243,149,111,143,529,382,321,338,304,242,222,293
Expenses +,96,159,114,91,105,389,291,267,303,317,241,231,280
Operating Profit,54,84,35,20,37,140,91,54,34,-13,1,-9,13
OPM %,36%,35%,23%,18%,26%,27%,24%,17%,10%,-4%,0%,-4%,4%
Other Income +,4,5,13,11,22,14,15,14,13,-4,17,8,9
Interest,1,3,3,2,2,3,7,12,15,14,9,5,4
Depreciation,2,2,3,3,8,8,8,7,8,9,9,8,8
Profit before tax,56,84,42,26,49,143,91,49,24,-39,0,-15,10
Tax %,21%,18%,21%,15%,5%,26%,27%,22%,42%,23%,-473%,52%,
Net Profit,44,70,33,22,47,106,67,38,14,-30,2,-7,11
EPS in Rs,4.68,7.47,3.56,2.35,4.54,10.34,6.55,3.74,1.35,-2.95,0.17,-0.69,1.06
