,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,104,165,159,161,157,89,87,84,131,127,69,85,91
Expenses +,91,123,121,131,126,-10,72,79,90,73,44,42,68
Operating Profit,13,42,37,29,31,99,15,5,42,54,25,44,23
OPM %,12%,25%,24%,18%,20%,111%,17%,6%,32%,43%,36%,51%,26%
Other Income +,1,64,19,6,9,26,30,35,18,68,-3,-19,5
Interest,0,88,85,80,75,56,44,25,20,30,22,21,22
Depreciation,10,25,28,29,42,32,27,26,26,52,39,19,18
Profit before tax,3,-8,-57,-73,-77,37,-26,-10,13,39,-39,-15,-12
Tax %,88%,96%,8%,0%,-1%,-178%,-3%,-40%,24%,24%,20%,-82%,
Net Profit,0,-1,-62,-76,-78,104,-27,-15,10,30,-31,-28,-24
EPS in Rs,,0.01,-10.90,-13.67,-13.98,18.44,-4.79,-2.60,1.76,5.16,-5.37,-4.91,-4.22
