,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,513","1,834","2,049","1,605","1,414","1,386","1,627","1,839","1,167","1,121",476,618,588
Expenses +,"1,293","1,599","1,815","1,378","1,180","1,144","1,343","1,579","1,038",924,594,665,697
Operating Profit,220,235,234,226,234,242,284,260,128,198,-119,-47,-109
OPM %,15%,13%,11%,14%,17%,17%,17%,14%,11%,18%,-25%,-8%,-19%
Other Income +,18,22,25,30,34,54,59,59,34,28,39,20,15
Interest,105,132,126,131,144,147,155,169,74,108,161,121,119
Depreciation,5,6,7,10,14,10,9,9,9,73,63,47,47
Profit before tax,128,119,125,116,110,139,179,141,79,44,-305,-194,-260
Tax %,28%,24%,15%,32%,46%,45%,41%,39%,38%,319%,23%,17%,
Net Profit,93,90,106,79,60,77,105,85,49,-97,-235,-162,-213
EPS in Rs,4.25,4.14,4.85,4.29,3.28,4.20,5.58,4.59,2.68,-5.32,-12.86,-8.72,-11.67
