,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM
Sales +,"1,800","2,115","2,502","3,394","3,861","4,004","5,105","7,130","6,450","8,823","12,693"
Expenses +,"1,572","1,824","2,116","2,752","3,052","3,165","4,069","5,667","5,235","7,129","10,005"
Operating Profit,228,291,387,642,810,838,"1,036","1,462","1,215","1,694","2,688"
OPM %,13%,14%,15%,19%,21%,21%,20%,21%,19%,19%,21%
Other Income +,44,19,14,36,27,14,6,47,-30,51,30
Interest,116,171,187,170,435,215,223,324,294,207,176
Depreciation,136,184,210,317,322,347,385,489,529,531,567
Profit before tax,21,-46,4,191,79,291,434,696,363,"1,007","1,976"
Tax %,-20%,11%,658%,41%,39%,26%,31%,32%,1%,26%,
Net Profit,25,-40,-20,113,48,214,300,472,357,746,"1,501"
EPS in Rs,9.30,-0.88,-0.45,2.50,0.69,3.41,4.75,7.22,5.07,10.69,22.15
