,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,261","1,708","2,047","2,217","1,567","1,646","1,668",912,"1,412","1,420","1,165","1,563","1,818"
Expenses +,"1,145","1,530","1,776","1,945","1,355","1,403","1,421",848,"1,266","1,265","1,050","1,413","1,644"
Operating Profit,116,178,272,272,211,243,247,64,146,156,115,150,174
OPM %,9%,10%,13%,12%,13%,15%,15%,7%,10%,11%,10%,10%,10%
Other Income +,3,4,5,4,15,7,4,86,6,-48,6,12,11
Interest,48,65,66,64,38,31,19,8,19,21,17,12,18
Depreciation,42,48,54,60,47,50,51,18,22,26,23,26,30
Profit before tax,29,68,157,153,141,170,181,124,111,61,81,125,139
Tax %,20%,17%,24%,23%,12%,24%,31%,11%,28%,22%,25%,24%,
Net Profit,23,57,120,118,124,128,125,111,80,47,61,95,103
EPS in Rs,1.95,4.71,9.93,9.76,10.31,10.63,10.23,9.02,6.50,3.85,4.97,7.73,8.40
