,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,609,811,914,"1,087","1,450","1,347","1,497","1,878","2,087"
Expenses +,689,847,937,"1,012","1,317","1,271","1,138","1,403","1,642"
Operating Profit,-80,-36,-23,75,132,75,360,475,445
OPM %,-13%,-4%,-3%,7%,9%,6%,24%,25%,21%
Other Income +,18,27,41,32,66,38,20,43,58
Interest,1,2,13,17,16,22,13,7,4
Depreciation,19,21,24,27,42,69,77,98,109
Profit before tax,-82,-33,-20,64,140,23,290,413,390
Tax %,-2%,28%,-15%,11%,6%,22%,9%,15%,
Net Profit,-83,-23,-22,57,131,18,265,350,312
EPS in Rs,-6.75,-1.90,-1.79,3.72,9.97,1.21,19.76,25.94,23.06
