,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,903,892,633,555,758,399,275,192,910,"1,189",357,897,923
Expenses +,453,470,373,346,434,310,202,213,962,"1,133",373,953,986
Operating Profit,450,422,260,209,325,89,73,-22,-52,56,-16,-56,-64
OPM %,50%,47%,41%,38%,43%,22%,26%,-11%,-6%,5%,-5%,-6%,-7%
Other Income +,33,76,27,18,-452,36,28,16,14,77,71,19,12
Interest,229,281,143,175,180,186,234,324,335,481,433,395,428
Depreciation,16,15,13,13,5,29,28,30,29,27,37,57,68
Profit before tax,239,201,132,39,-313,-90,-161,-360,-402,-375,-415,-490,-547
Tax %,30%,66%,45%,58%,64%,45%,8%,10%,9%,3%,-3%,-1%,
Net Profit,168,56,73,16,-113,-49,-149,-324,-367,-363,-428,-494,-548
EPS in Rs,3.24,1.29,1.64,0.37,-2.47,-0.85,-3.32,-7.29,-8.35,-7.96,-9.82,-11.31,-12.58
