,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,202","1,465","1,520","1,863","2,056","3,166","3,105","3,131","3,935","4,606","5,393","5,306","5,425"
Expenses +,"1,042","1,246","1,268","1,506","1,653","2,159","2,490","2,488","3,061","3,383","3,913","4,432","4,775"
Operating Profit,160,219,252,358,403,"1,007",615,643,874,"1,223","1,480",874,649
OPM %,13%,15%,17%,19%,20%,32%,20%,21%,22%,27%,27%,16%,12%
Other Income +,4,13,4,4,4,7,2,7,9,-39,87,50,27
Interest,28,38,15,10,4,5,5,3,18,27,16,18,32
Depreciation,30,34,35,40,44,72,83,105,115,157,183,287,314
Profit before tax,107,161,206,311,359,936,529,541,749,"1,000","1,368",620,330
Tax %,20%,19%,20%,24%,21%,23%,23%,22%,21%,20%,19%,17%,
Net Profit,85,130,165,236,283,720,403,413,583,801,"1,146",521,266
EPS in Rs,,6.90,8.77,12.49,15.01,38.20,21.39,21.89,31.00,43.97,58.33,26.50,14.21
