,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,1.52,1.99,2.62,3.14,8.39,9.25,10.30,10.71,9.05,9.97,10.54,11.01,11.35
Expenses +,0.37,0.51,0.86,1.83,2.02,2.16,3.44,5.19,5.53,5.65,5.63,6.91,7.34
Operating Profit,1.15,1.48,1.76,1.31,6.37,7.09,6.86,5.52,3.52,4.32,4.91,4.10,4.01
OPM %,75.66%,74.37%,67.18%,41.72%,75.92%,76.65%,66.60%,51.54%,38.90%,43.33%,46.58%,37.24%,35.33%
Other Income +,0.32,0.11,0.02,-0.38,1.76,-0.23,2.02,1.46,13.68,0.40,0.08,0.07,0.20
Interest,0.00,0.01,0.00,0.01,2.71,2.20,2.94,1.80,0.45,0.47,0.22,0.41,0.28
Depreciation,0.27,0.26,0.23,0.23,1.46,1.45,1.57,1.52,1.50,1.48,1.74,1.78,1.76
Profit before tax,1.20,1.32,1.55,0.69,3.96,3.21,4.37,3.66,15.25,2.77,3.03,1.98,2.17
Tax %,27.50%,24.24%,25.81%,14.49%,19.44%,23.05%,19.91%,19.13%,7.74%,27.80%,33.99%,37.88%,
Net Profit,0.87,1.00,1.15,0.58,3.19,2.47,3.50,2.97,14.07,2.00,1.99,1.24,1.38
EPS in Rs,2.31,2.63,3.03,1.50,8.42,6.60,9.38,7.94,37.67,4.96,4.91,2.87,3.25
