,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,97.19,124.40,183.11,194.65,202.25,213.78,243.54,96.85,83.32,87.69
Expenses +,73.67,101.42,155.77,167.00,166.44,177.47,214.84,87.13,75.88,82.79
Operating Profit,23.52,22.98,27.34,27.65,35.81,36.31,28.70,9.72,7.44,4.90
OPM %,24.20%,18.47%,14.93%,14.20%,17.71%,16.98%,11.78%,10.04%,8.93%,5.59%
Other Income +,3.50,6.99,11.94,6.04,6.04,6.58,11.44,9.09,10.67,11.45
Interest,7.93,10.06,14.53,8.90,11.10,12.99,16.90,16.09,14.48,11.82
Depreciation,0.94,1.31,1.42,1.62,1.72,1.86,1.75,1.78,1.87,1.72
Profit before tax,18.15,18.60,23.33,23.17,29.03,28.04,21.49,0.94,1.76,2.81
Tax %,34.93%,35.70%,37.89%,35.82%,31.11%,28.64%,22.20%,41.49%,31.82%,
Net Profit,11.81,11.97,14.49,14.87,20.00,20.01,16.49,-0.65,-1.98,-1.24
EPS in Rs,0.40,0.32,0.38,0.38,0.51,0.51,0.42,-0.02,-0.05,-0.03
