,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,502,595,786,"1,071","1,436","1,725","1,820","1,941","1,979","2,075","2,253","2,712"
Expenses +,426,499,653,865,"1,185","1,467","1,566","1,608","1,662","1,785","1,981","2,396"
Operating Profit,76,96,133,206,250,259,254,333,317,290,272,316
OPM %,15%,16%,17%,19%,17%,15%,14%,17%,16%,14%,12%,12%
Other Income +,9,-2,14,4,5,27,4,3,13,1,3,29
Interest,16,17,40,36,42,69,72,78,41,33,56,87
Depreciation,26,28,50,55,65,93,110,125,115,111,114,151
Profit before tax,42,49,57,118,148,124,75,134,174,147,105,107
Tax %,36%,36%,23%,34%,37%,34%,55%,36%,38%,32%,30%,35%
Net Profit,27,32,44,78,94,82,34,85,108,100,74,70
EPS in Rs,,,,11.84,14.17,12.43,5.15,11.82,15.01,13.87,10.25,9.69
