,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,469","2,928","3,404","3,961","4,254","2,960","4,462","4,969","5,612","5,512","6,355","7,773","8,795"
Expenses +,"2,116","2,456","2,868","3,373","3,588","2,498","3,700","4,182","4,827","4,676","5,071","6,531","7,669"
Operating Profit,353,472,536,589,666,462,762,787,785,835,"1,284","1,242","1,125"
OPM %,14%,16%,16%,15%,16%,16%,17%,16%,14%,15%,20%,16%,13%
Other Income +,10,6,3,6,5,-4,8,38,89,32,163,224,218
Interest,44,58,55,79,60,32,34,21,26,20,22,5,5
Depreciation,62,72,82,102,139,105,154,167,184,206,213,230,243
Profit before tax,257,347,401,414,472,322,582,637,664,641,"1,212","1,232","1,096"
Tax %,34%,33%,33%,34%,34%,37%,35%,32%,32%,27%,19%,21%,
Net Profit,196,242,290,283,322,221,430,432,449,467,978,968,865
EPS in Rs,15.42,19.03,22.84,22.31,25.38,17.43,33.88,33.99,35.32,36.80,77.00,76.24,68.14
