,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,305,630,665,518,651,713,745,751,840,818,703,852,"1,114"
Expenses +,347,481,503,410,526,553,577,594,687,660,553,692,905
Operating Profit,-42,148,163,108,125,160,168,157,153,158,149,161,209
OPM %,-14%,24%,24%,21%,19%,22%,23%,21%,18%,19%,21%,19%,19%
Other Income +,59,4,8,8,30,25,33,8,19,24,6,227,38
Interest,5,11,4,3,4,2,2,2,3,5,3,3,1
Depreciation,6,12,13,14,16,15,15,19,20,20,20,20,20
Profit before tax,5,130,153,100,136,167,185,144,149,156,132,365,226
Tax %,251%,34%,33%,33%,32%,32%,33%,33%,33%,22%,22%,26%,
Net Profit,-7,86,103,67,93,113,124,96,100,122,102,270,170
EPS in Rs,,2.65,3.17,2.06,2.74,3.42,3.74,2.91,3.10,3.77,3.17,8.36,5.26
