,Jun 2008,Jun 2009,Jun 2010,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM
Sales +,"2,831","2,825","3,795","4,500","4,806","4,913","5,285","3,239","4,235","2,059","2,519","3,643","3,395"
Expenses +,"2,134","2,186","3,000","3,640","4,021","4,045","4,348","2,834","3,869","2,859","3,363","3,248","3,205"
Operating Profit,697,639,794,860,785,868,937,405,365,-800,-844,395,190
OPM %,25%,23%,21%,19%,16%,18%,18%,12%,9%,-39%,-34%,11%,6%
Other Income +,101,38,47,39,16,17,11,13,236,-241,-164,-322,-543
Interest,232,192,260,294,266,356,423,278,622,901,917,846,847
Depreciation,192,233,302,335,364,452,496,203,265,264,277,266,252
Profit before tax,374,252,279,269,171,77,30,-64,-286,"-2,207","-2,202","-1,038","-1,451"
Tax %,19%,26%,14%,1%,7%,-21%,-109%,26%,2%,6%,8%,-3%,
Net Profit,306,189,240,266,159,94,62,-47,-279,"-2,071","-2,036","-1,072","-1,466"
EPS in Rs,5.40,3.03,3.01,3.24,1.88,1.19,0.76,-0.33,-3.20,-23.97,-10.78,-7.20,-10.22
