,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,20,17,30,926,303,243,952,888,857,560,614,513,508
Expenses +,17,13,25,647,169,219,606,522,479,392,477,418,416
Operating Profit,3,4,6,279,134,24,346,367,378,167,137,95,92
OPM %,17%,25%,18%,30%,44%,10%,36%,41%,44%,30%,22%,19%,18%
Other Income +,10,13,18,13,14,16,5,9,35,20,11,22,36
Interest,4,5,11,17,18,17,46,42,41,81,85,78,79
Depreciation,1,1,1,1,2,2,2,2,2,4,5,7,9
Profit before tax,9,11,11,273,128,21,303,332,370,103,58,33,40
Tax %,61%,59%,58%,33%,37%,-30%,29%,32%,35%,27%,28%,23%,
Net Profit,4,5,5,183,81,27,216,224,241,75,42,25,34
EPS in Rs,0.25,0.25,0.32,11.99,5.41,1.82,16.20,14.64,15.55,5.06,2.86,1.71,2.33
