,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,626","1,989","2,062","2,302","3,242","1,843","1,238","1,383","1,879","2,638","4,188","6,061","5,212"
Expenses +,"1,178","1,492","1,576","1,909","3,146","2,295","1,639","1,342","1,878","2,683","3,800","5,588","5,136"
Operating Profit,448,497,486,393,96,-452,-401,41,2,-44,388,473,76
OPM %,28%,25%,24%,17%,3%,-25%,-32%,3%,0%,-2%,9%,8%,1%
Other Income +,27,44,65,74,-189,-19,-226,-250,"-2,829",26,326,22,35
Interest,37,103,135,253,683,"1,083","1,141","1,195",448,255,276,271,272
Depreciation,79,81,100,144,288,364,360,355,278,219,228,223,234
Profit before tax,359,357,315,70,"-1,063","-1,918","-2,127","-1,759","-3,552",-492,210,1,-395
Tax %,23%,26%,29%,47%,18%,0%,-0%,0%,0%,0%,0%,0%,
Net Profit,278,263,223,37,-869,"-1,917","-2,132","-1,759","-3,552",-492,210,1,-395
EPS in Rs,42.98,40.60,34.86,5.63,-130.18,-94.99,-106.07,-87.58,-75.65,-10.48,4.48,0.03,-8.41
