,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,126.91,179.88,221.89,211.89,158.00,195.40,217.85,283.49,258.34,154.35,55.89,110.18,61.76
Expenses +,109.69,167.72,210.54,189.39,155.00,182.79,206.99,266.67,250.38,194.77,83.09,113.96,59.92
Operating Profit,17.22,12.16,11.35,22.50,3.00,12.61,10.86,16.82,7.96,-40.42,-27.20,-3.78,1.84
OPM %,13.57%,6.76%,5.12%,10.62%,1.90%,6.45%,4.99%,5.93%,3.08%,-26.19%,-48.67%,-3.43%,2.98%
Other Income +,2.14,1.31,3.06,1.19,1.47,0.77,6.16,2.43,2.11,1.47,1.01,0.30,0.58
Interest,1.70,2.68,5.21,5.51,6.59,6.96,6.22,6.90,8.04,3.36,0.61,0.79,0.22
Depreciation,2.64,0.64,0.76,0.78,0.65,0.81,1.07,2.03,1.97,1.39,1.52,1.36,1.29
Profit before tax,15.02,10.15,8.44,17.40,-2.77,5.61,9.73,10.32,0.06,-43.70,-28.32,-5.63,0.91
Tax %,29.56%,37.24%,32.94%,32.82%,-67.51%,44.74%,26.31%,31.59%,-100.00%,-0.66%,-0.92%,-8.70%,
Net Profit,10.58,6.37,5.66,11.69,-4.64,3.10,7.13,7.06,0.13,-43.99,-28.58,-6.12,0.11
EPS in Rs,,0.51,0.36,0.68,-0.07,0.31,0.57,0.56,0.01,-3.50,-2.27,-0.49,0.01
