,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,310,392,430,"1,287","3,244","6,094","8,762","11,248","6,603","6,833",795,"1,888","3,468"
Expenses +,267,285,317,"1,140","3,001","5,910","8,425","10,876","6,520","6,726","1,147","2,075","3,387"
Operating Profit,43,107,113,147,243,184,338,372,83,107,-352,-187,81
OPM %,14%,27%,26%,11%,7%,3%,4%,3%,1%,2%,-44%,-10%,2%
Other Income +,66,19,9,6,41,-31,84,"6,005",168,76,146,55,31
Interest,22,31,31,34,71,92,132,149,73,101,62,62,72
Depreciation,14,14,14,18,41,61,91,137,67,151,148,129,126
Profit before tax,74,81,77,102,171,1,199,"6,091",110,-69,-416,-322,-86
Tax %,36%,30%,35%,33%,34%,"6,392%",57%,-1%,19%,74%,29%,21%,
Net Profit,47,56,50,69,112,-59,86,"6,131",89,-18,-295,-254,-81
EPS in Rs,2.23,2.65,2.37,2.51,3.31,-2.13,1.18,161.21,2.29,-0.02,-6.72,-5.18,-1.81
