,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,81,84,171,276,207,310,223,233,171,225,168,161,88
Expenses +,65,58,127,218,163,225,193,182,173,281,163,265,183
Operating Profit,16,26,45,58,45,85,31,51,-2,-56,5,-104,-95
OPM %,20%,31%,26%,21%,22%,27%,14%,22%,-1%,-25%,3%,-65%,-108%
Other Income +,21,6,6,2,0,2,20,32,179,-49,74,43,206
Interest,8,11,1,2,13,45,36,43,42,130,125,72,33
Depreciation,1,1,8,10,17,36,27,28,26,32,29,23,12
Profit before tax,29,20,42,47,15,6,-13,12,108,-267,-75,-157,66
Tax %,16%,32%,2%,9%,-21%,-18%,-1%,37%,28%,-10%,-17%,-11%,
Net Profit,24,14,41,43,18,7,-13,8,78,-293,-88,-174,62
EPS in Rs,,2.72,8.18,8.48,3.50,1.40,-4.15,0.63,8.21,-33.09,-10.58,-19.71,6.37
