,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,284","2,770","2,651","2,736","3,156","3,255","3,303","3,855","4,558","3,723","3,644","4,902","5,359"
Expenses +,"2,031","2,465","2,401","2,447","2,781","3,012","2,712","3,173","3,756","3,130","2,980","4,101","4,546"
Operating Profit,253,305,250,289,375,243,590,681,802,594,664,801,813
OPM %,11%,11%,9%,11%,12%,7%,18%,18%,18%,16%,18%,16%,15%
Other Income +,16,30,71,49,17,85,12,22,26,27,27,39,42
Interest,42,98,90,68,94,73,39,37,46,58,26,29,32
Depreciation,72,84,94,102,116,116,104,112,129,170,180,191,195
Profit before tax,156,153,138,169,182,139,459,554,652,393,486,621,627
Tax %,27%,34%,32%,28%,28%,10%,26%,30%,30%,17%,25%,26%,
Net Profit,114,101,93,121,132,125,338,388,459,327,363,462,472
EPS in Rs,5.36,4.74,4.42,5.75,6.25,6.00,16.06,18.40,21.77,15.46,17.09,21.74,22.17
