,Mar 2006,Mar 2007,Mar 2008,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,129,122,80,531,475,556,667,625,296,315,427
Expenses +,125,119,82,455,416,483,585,554,304,332,425
Operating Profit,4,3,-1,76,60,73,81,71,-8,-16,2
OPM %,3%,2%,-2%,14%,13%,13%,12%,11%,-3%,-5%,0%
Other Income +,12,17,16,1,2,3,7,3,2,1,2
Interest,3,6,9,1,1,0,1,1,1,8,13
Depreciation,2,3,3,5,5,5,6,6,7,10,13
Profit before tax,11,11,3,72,56,69,82,67,-13,-33,-23
Tax %,36%,37%,53%,34%,34%,33%,35%,22%,22%,23%,
Net Profit,7,7,1,47,37,48,55,54,-8,-25,-18
EPS in Rs,,,,21.60,16.73,21.82,25.09,24.43,-3.73,-11.37,-8.33
