,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,191,214,269,61,63,55,46,49,52,52,27
Expenses +,165,187,297,76,74,156,50,49,54,59,30
Operating Profit,26,27,-27,-15,-12,-102,-4,-1,-3,-7,-3
OPM %,13%,13%,-10%,-25%,-19%,-186%,-10%,-1%,-5%,-13%,-10%
Other Income +,2,3,4,2,-0,2,2,3,3,9,5
Interest,8,8,15,19,12,11,12,10,16,10,10
Depreciation,5,5,6,8,8,9,2,3,3,4,4
Profit before tax,14,17,-44,-39,-33,-120,-16,-10,-20,-12,-11
Tax %,14%,32%,23%,10%,-9%,15%,9%,-1%,-48%,-78%,-88%
Net Profit,12,11,-34,-36,-36,-102,-14,-10,-29,-22,-22
EPS in Rs,9.47,8.86,-26.62,-27.80,-27.86,-79.30,-11.28,-5.37,-19.56,-18.26,-6.24
