,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,558","1,681","1,944","2,217","2,099","2,209","2,345","2,633","2,913","2,643","2,421","3,170","3,710"
Expenses +,"1,295","1,506","1,777","1,987","1,789","1,816","1,930","2,169","2,403","2,212","1,987","2,410","2,815"
Operating Profit,263,175,167,229,309,393,415,464,510,431,435,761,895
OPM %,17%,10%,9%,10%,15%,18%,18%,18%,18%,16%,18%,24%,24%
Other Income +,17,11,10,4,13,3,31,23,24,23,46,31,34
Interest,129,148,170,163,160,144,144,124,135,146,143,121,108
Depreciation,123,132,154,143,112,110,79,95,119,137,132,160,162
Profit before tax,28,-95,-147,-72,51,142,223,269,280,171,205,511,659
Tax %,40%,30%,33%,31%,26%,42%,33%,35%,33%,11%,36%,33%,
Net Profit,17,-66,-99,-48,40,85,150,176,188,151,131,343,438
EPS in Rs,0.69,-2.68,-4.01,-1.92,1.73,3.58,6.15,7.30,7.82,6.32,5.47,14.18,18.12
