,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,233","1,330","1,459","1,738","2,160","2,437","2,629","2,844","3,257","3,060","2,751","3,969","5,438"
Expenses +,974,"1,179","1,320","1,597","1,902","2,042","2,112","2,226","2,388","2,189","2,188","2,971","3,888"
Operating Profit,259,151,139,141,259,396,517,618,868,871,563,997,"1,550"
OPM %,21%,11%,10%,8%,12%,16%,20%,22%,27%,28%,20%,25%,28%
Other Income +,13,25,26,-5,3,7,35,22,50,104,111,124,104
Interest,51,51,54,129,205,195,188,143,124,129,129,132,127
Depreciation,72,74,74,127,116,118,121,122,128,149,174,193,237
Profit before tax,148,51,38,-119,-60,89,244,375,666,696,370,797,"1,290"
Tax %,28%,6%,0%,37%,69%,32%,28%,31%,36%,33%,36%,32%,
Net Profit,107,49,38,-75,-18,56,172,261,425,468,237,544,912
EPS in Rs,,3.55,2.78,-5.47,-1.35,3.77,11.02,14.85,23.97,26.67,14.16,32.03,53.51
