,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,806,"1,166","1,706","2,271","2,593","1,951","1,486",660,713,893,738,634,790
Expenses +,713,"1,033","1,523","2,037","2,669","2,095","1,721",985,"1,052","1,009",828,681,828
Operating Profit,93,133,182,234,-76,-144,-235,-325,-339,-117,-90,-47,-38
OPM %,12%,11%,11%,10%,-3%,-7%,-16%,-49%,-47%,-13%,-12%,-7%,-5%
Other Income +,18,13,7,-15,10,11,9,4,-32,3,-531,2,-6
Interest,50,67,109,147,169,200,234,-16,53,50,32,2,4
Depreciation,11,13,22,30,30,26,31,35,34,34,33,23,23
Profit before tax,50,66,60,43,-265,-358,-491,-340,-458,-197,-686,-69,-71
Tax %,35%,33%,33%,32%,14%,0%,0%,0%,0%,0%,1%,0%,
Net Profit,32,44,40,29,-228,-358,-491,-340,-458,-197,-679,-69,-71
EPS in Rs,5.87,7.97,4.93,2.58,-20.06,-31.64,-42.88,-29.90,-40.21,-16.90,-59.72,-6.10,-6.23
