,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM
Sales +,11,20,22,51,48,136,240,378,560,611
Expenses +,12,21,20,49,45,121,208,329,484,535
Operating Profit,-1,-1,2,3,4,14,32,49,76,76
OPM %,-13%,-7%,9%,5%,7%,11%,13%,13%,14%,12%
Other Income +,3,10,0,1,1,2,92,5,3,10
Interest,0,0,0,0,1,6,9,21,29,34
Depreciation,1,1,1,1,1,1,1,10,10,12
Profit before tax,1,8,1,2,2,9,114,23,39,40
Tax %,0%,0%,1%,-1%,0%,31%,7%,-33%,34%,
Net Profit,1,8,1,2,2,6,106,30,26,26
EPS in Rs,,,,,,5.50,75.28,20.35,17.18,17.25
