,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,83,121,161,194,214,264,260,271,283,270,301,405,478
Expenses +,80,109,131,155,177,210,219,231,230,217,231,327,383
Operating Profit,3,13,30,40,37,54,41,40,53,53,70,77,95
OPM %,3%,11%,19%,20%,17%,20%,16%,15%,19%,20%,23%,19%,20%
Other Income +,3,10,2,10,2,6,1,13,6,8,5,4,6
Interest,0,0,1,2,2,0,0,0,0,1,1,1,1
Depreciation,3,4,5,6,5,4,5,6,6,6,6,8,12
Profit before tax,3,18,26,42,32,56,37,48,54,54,68,72,87
Tax %,42%,38%,27%,29%,32%,34%,36%,33%,32%,26%,26%,25%,
Net Profit,2,11,19,30,22,37,24,32,36,40,50,54,65
EPS in Rs,1.86,11.32,19.20,29.26,20.53,34.68,22.29,29.86,33.79,38.92,49.20,52.57,63.20
