,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,337,517,872,"1,279","1,984","2,321","2,673","4,292","2,219",463
Expenses +,303,457,749,"1,134","1,794","2,086","2,380","3,937","2,459","1,214"
Operating Profit,34,60,122,145,191,235,293,355,-240,-751
OPM %,10%,12%,14%,11%,10%,10%,11%,8%,-11%,-162%
Other Income +,1,1,2,6,8,6,9,9,5,2
Interest,13,19,34,54,75,108,141,185,104,25
Depreciation,3,6,13,13,27,29,48,70,57,47
Profit before tax,19,36,77,84,97,105,113,110,-396,-821
Tax %,35%,35%,33%,31%,34%,33%,34%,31%,2%,0%
Net Profit,12,24,51,58,64,70,75,76,-390,-820
EPS in Rs,,,1.16,1.34,1.45,1.60,1.71,1.72,-8.82,-18.57
