,Mar 2009,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,287,365,346,382,325,284,365,382,352,385,449,470,485
Expenses +,267,335,323,359,342,320,352,369,364,362,394,438,449
Operating Profit,20,30,22,24,-17,-36,13,13,-12,24,55,31,35
OPM %,7%,8%,6%,6%,-5%,-13%,4%,3%,-3%,6%,12%,7%,7%
Other Income +,5,4,2,3,4,10,10,9,6,6,3,7,8
Interest,13,17,15,15,14,14,14,13,14,16,14,11,11
Depreciation,3,6,7,6,7,6,5,4,4,4,4,4,4
Profit before tax,8,10,3,5,-35,-46,4,4,-24,9,40,23,28
Tax %,24%,55%,34%,14%,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit,6,5,2,4,-35,-46,4,4,-24,9,40,23,28
EPS in Rs,3.45,2.55,1.24,2.38,-19.06,-24.69,2.21,2.41,-13.02,5.01,21.85,12.48,15.09
