,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,21,22,22,22,23,23,23,23,23,23,23
Reserves,141,179,211,231,269,367,433,456,485,499,533,585
Borrowings +,222,275,284,293,223,223,248,197,278,169,133,94
Other Liabilities +,96,134,158,179,285,329,509,435,389,235,352,408
Total Liabilities,480,609,676,725,799,942,"1,213","1,112","1,175",926,"1,041","1,110"
Fixed Assets +,109,138,175,205,233,259,297,253,282,256,258,268
CWIP,0,0,-0,-0,-0,-0,-0,4,0,2,2,2
Investments,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,370,472,501,521,566,683,916,855,892,667,781,840
Total Assets,480,609,676,725,799,942,"1,213","1,112","1,175",926,"1,041","1,110"
