,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,475,654,761,"1,084","1,292","1,357","1,411","1,685","2,279","2,599","3,238","3,765","4,197"
Expenses +,418,575,676,925,"1,082","1,081","1,112","1,406","1,895","2,073","2,382","3,038","3,376"
Operating Profit,57,79,86,159,210,276,299,278,384,526,856,727,821
OPM %,12%,12%,11%,15%,16%,20%,21%,17%,17%,20%,26%,19%,20%
Other Income +,0,1,1,4,3,5,35,27,75,90,26,13,18
Interest,12,17,18,20,32,37,32,33,28,27,26,23,31
Depreciation,18,21,23,30,53,58,72,76,105,137,151,159,167
Profit before tax,27,43,46,112,128,186,230,196,326,451,704,558,641
Tax %,22%,30%,30%,33%,29%,33%,28%,32%,27%,26%,22%,26%,
Net Profit,21,30,33,75,91,123,165,133,236,335,549,413,485
EPS in Rs,1.04,1.49,1.62,3.71,4.45,5.68,7.19,5.22,9.30,13.19,22.18,16.64,19.53
