,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,319","2,802","3,209","1,859","1,911","1,720","2,194","1,208","1,309","1,344",472,328,69
Expenses +,"1,006","2,095","2,433","1,308","1,684","1,441","1,815",962,977,"1,084",442,265,62
Operating Profit,313,707,776,550,227,279,379,246,332,261,30,63,7
OPM %,24%,25%,24%,30%,12%,16%,17%,20%,25%,19%,6%,19%,11%
Other Income +,24,46,39,128,243,199,-69,"-1,201","-3,430","-1,342",13,319,502
Interest,139,329,366,399,477,542,467,387,396,433,489,356,288
Depreciation,162,363,369,478,424,464,390,304,282,172,174,106,59
Profit before tax,35,60,80,-199,-432,-528,-547,"-1,646","-3,776","-1,686",-620,-81,162
Tax %,6%,39%,55%,-23%,-6%,-4%,-7%,-0%,-0%,-0%,-0%,-0%,
Net Profit,33,37,36,-244,-459,-550,-583,"-1,685","-3,771","-1,687",-621,-78,162
EPS in Rs,,1.79,1.74,-11.88,-22.36,-26.58,-28.19,-80.44,-182.40,-81.24,-29.97,-3.79,7.79
