,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,041","5,647","6,271","5,440","8,433","8,295","5,270","3,418",757,521,654,840,900
Expenses +,"4,592","5,128","5,671","4,913","7,914","8,335","5,046","3,456",823,568,671,897,938
Operating Profit,449,520,600,527,518,-39,225,-37,-66,-46,-17,-57,-37
OPM %,9%,9%,10%,10%,6%,-0%,4%,-1%,-9%,-9%,-3%,-7%,-4%
Other Income +,4,7,43,69,31,-616,64,69,-889,-733,-25,39,63
Interest,218,262,331,304,279,517,621,654,938,391,-35,0,0
Depreciation,121,129,184,216,225,283,286,258,253,248,234,231,231
Profit before tax,114,136,129,76,45,"-1,455",-619,-881,"-2,146","-1,418",-241,-250,-204
Tax %,33%,46%,58%,61%,56%,28%,29%,0%,0%,0%,2%,-2%,
Net Profit,77,73,55,30,20,"-1,051",-437,-881,"-2,146","-1,414",-236,-256,-205
EPS in Rs,6.27,5.98,3.85,2.09,1.39,-73.91,-30.74,-61.93,-150.82,-99.41,-16.55,-18.00,-14.43
