,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,477","5,815","6,979","7,902","8,468","8,518","8,584","10,053","11,001","11,965","13,114","13,742","14,997"
Expenses +,"3,955","5,292","6,533","7,339","7,889","7,733","7,673","8,957","9,764","10,635","11,874","12,742","14,160"
Operating Profit,522,523,447,563,579,785,911,"1,095","1,237","1,330","1,240","1,001",837
OPM %,12%,9%,6%,7%,7%,9%,11%,11%,11%,11%,9%,7%,6%
Other Income +,-2,61,16,-4,146,6,14,22,31,11,29,-31,33
Interest,163,211,260,333,376,368,332,318,398,403,360,413,405
Depreciation,41,48,56,71,88,132,130,110,117,147,153,158,160
Profit before tax,317,324,147,155,261,291,463,689,753,790,756,399,304
Tax %,35%,35%,56%,57%,38%,49%,34%,33%,34%,28%,27%,17%,
Net Profit,206,209,65,67,161,148,305,460,496,566,553,332,292
EPS in Rs,8.00,8.14,2.53,2.60,6.26,5.75,11.86,17.91,19.28,22.00,21.50,12.92,11.36
