,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,165,178,199,226,324,391,365,335,459,393,295,650,850
Expenses +,138,149,164,178,239,256,234,240,315,262,212,474,632
Operating Profit,27,29,36,48,85,134,131,95,144,132,83,175,218
OPM %,16%,16%,18%,21%,26%,34%,36%,28%,31%,33%,28%,27%,26%
Other Income +,1,4,17,9,15,-12,10,6,9,5,6,3,2
Interest,31,44,35,33,34,38,33,30,27,23,22,37,37
Depreciation,18,19,22,20,23,18,17,20,26,23,21,39,41
Profit before tax,-22,-30,-5,3,43,66,90,51,101,91,45,102,143
Tax %,1%,-2%,-29%,-325%,28%,22%,22%,17%,20%,22%,37%,23%,
Net Profit,-22,-31,-7,12,31,51,70,42,81,71,28,78,106
EPS in Rs,-6.95,-9.98,-2.14,3.77,10.12,16.52,22.66,13.62,26.02,22.81,9.12,25.25,34.31
