,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,TTM
Sales +,887,"1,080","1,065",940,871,"1,084","1,469","1,926","2,231","2,513","2,593"
Expenses +,862,981,946,813,712,874,"1,245","1,609","1,842","2,129","2,208"
Operating Profit,25,99,119,127,159,211,224,317,389,384,386
OPM %,3%,9%,11%,13%,18%,19%,15%,16%,17%,15%,15%
Other Income +,54,6,13,29,22,12,17,13,25,-5,18
Interest,4,4,1,2,3,0,0,0,0,0,0
Depreciation,9,8,8,9,10,10,21,23,27,48,50
Profit before tax,66,93,123,144,167,212,220,307,387,331,354
Tax %,26%,25%,25%,19%,14%,15%,31%,25%,28%,16%,
Net Profit,49,69,92,116,143,179,152,230,280,277,275
EPS in Rs,31.94,45.61,60.75,76.41,94.23,118.03,50.10,75.98,92.55,91.46,90.74
