,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,532","1,775","2,029","2,439","2,637","2,595","2,834","3,514","4,038","4,093","3,731","5,081","5,715"
Expenses +,"1,391","1,569","1,780","2,075","2,235","2,134","2,324","3,008","3,270","3,191","2,813","4,168","4,805"
Operating Profit,141,205,249,364,402,461,510,505,768,902,918,913,910
OPM %,9%,12%,12%,15%,15%,18%,18%,14%,19%,22%,25%,18%,16%
Other Income +,63,12,22,36,9,37,57,30,38,83,109,82,100
Interest,26,43,33,33,26,28,25,13,7,9,9,9,9
Depreciation,39,44,51,58,60,66,95,110,119,130,136,177,186
Profit before tax,139,130,186,308,326,404,446,412,680,845,882,810,815
Tax %,35%,27%,31%,29%,31%,32%,28%,32%,36%,21%,25%,25%,
Net Profit,90,91,120,219,240,274,323,281,436,671,660,605,605
EPS in Rs,30.43,30.71,40.38,73.90,81.13,92.44,108.88,93.21,145.72,224.69,221.64,204.23,205.45
