,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales +,454,449,464,572,645,718,636,661,698,138,154,146
Expenses +,296,325,332,508,530,573,545,508,523,150,238,183
Operating Profit,158,124,132,63,114,145,92,153,175,-12,-83,-37
OPM %,35%,28%,28%,11%,18%,20%,14%,23%,25%,-9%,-54%,-25%
Other Income +,127,30,42,383,8,50,-138,-13,41,2,-25,244
Interest,27,24,54,321,405,502,198,88,90,0,0,1
Depreciation,65,68,63,102,139,181,227,240,141,13,10,12
Profit before tax,193,61,56,23,-421,-487,-470,-187,-15,-23,-119,194
Tax %,25%,32%,33%,20%,-3%,9%,12%,4%,0%,0%,0%,0%
Net Profit,145,41,38,19,-433,-442,-416,-180,-15,-23,-119,194
EPS in Rs,3.84,1.09,0.98,0.48,-10.35,-9.78,-8.91,-3.86,-0.33,-0.37,-1.89,3.07
