,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,532","1,751","1,931","2,064","2,667","3,416","3,851","3,471","3,264","4,083","4,733"
Expenses +,"1,495","1,699","1,874","2,012","2,590","3,296","3,700","3,313","3,129","3,885","4,500"
Operating Profit,37,51,57,52,76,120,152,158,135,198,232
OPM %,2%,3%,3%,3%,3%,4%,4%,5%,4%,5%,5%
Other Income +,3,6,9,13,10,6,7,14,14,12,15
Interest,1,0,0,1,3,4,3,18,20,30,36
Depreciation,3,3,6,8,15,20,22,73,90,135,159
Profit before tax,36,54,59,56,68,102,133,81,39,46,52
Tax %,32%,33%,35%,36%,32%,36%,35%,32%,26%,25%,
Net Profit,24,37,39,36,46,65,86,55,29,35,36
EPS in Rs,4.23,6.20,6.47,6.05,6.71,9.00,11.99,7.71,4.19,5.16,5.39
