,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,16,21,26,44,125,272,528,849,842,382,351,379,432
Expenses +,13,16,21,30,87,183,344,556,671,409,313,462,521
Operating Profit,3,5,5,14,38,89,185,293,171,-27,37,-82,-89
OPM %,20%,24%,21%,31%,31%,33%,35%,35%,20%,-7%,11%,-22%,-21%
Other Income +,0,0,0,0,0,0,1,8,8,-609,-1,1,2
Interest,0,0,0,0,0,0,2,11,13,15,16,12,10
Depreciation,1,1,1,4,9,20,14,25,70,22,18,11,16
Profit before tax,3,4,5,9,29,68,171,266,96,-672,2,-105,-113
Tax %,18%,17%,12%,19%,20%,22%,24%,23%,17%,-0%,23%,7%,
Net Profit,2,4,4,7,23,53,129,205,80,-675,1,-98,-114
EPS in Rs,0.85,1.42,1.48,2.27,6.88,13.65,34.23,56.24,22.52,-164.42,0.52,-20.59,-24.13
