,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,7,7,7,7,7,7,7,7,7
Reserves,110,126,142,160,187,206,206,214,162,161,209,239,295
Borrowings +,23,28,14,9,58,58,55,72,81,100,177,153,157
Other Liabilities +,10,11,10,10,18,24,26,29,26,29,43,48,50
Total Liabilities,150,173,174,187,271,296,294,322,277,297,436,448,508
Fixed Assets +,110,114,114,117,181,197,199,212,174,176,242,234,245
CWIP,1,0,0,0,0,2,1,2,6,8,11,9,8
Investments,20,33,33,37,61,57,33,26,21,18,19,18,18
Other Assets +,19,26,27,33,29,40,61,81,77,96,164,186,237
Total Assets,150,173,174,187,271,296,294,322,277,297,436,448,508
