,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,074","1,100","1,035","1,153","1,279","1,324","1,357","1,456","1,507","1,221","1,249","1,207","1,278"
Expenses +,"1,005","1,058",970,"1,063","1,155","1,201","1,223","1,352","1,382","1,100","1,024","1,088","1,188"
Operating Profit,69,42,66,91,124,123,134,104,124,121,225,119,90
OPM %,6%,4%,6%,8%,10%,9%,10%,7%,8%,10%,18%,10%,7%
Other Income +,-7,-62,9,9,4,8,9,20,12,198,-628,5,4
Interest,35,38,40,41,34,31,24,29,55,71,52,48,48
Depreciation,33,29,35,42,32,14,15,19,22,29,27,27,27
Profit before tax,-7,-87,-1,16,62,86,105,76,60,219,-482,48,19
Tax %,-112%,-1%,768%,18%,21%,19%,11%,30%,20%,19%,35%,4%,
Net Profit,-14,-88,5,14,49,69,94,53,48,178,-312,46,22
EPS in Rs,-1.92,-12.11,0.70,1.87,6.73,9.50,12.87,7.31,6.58,24.53,-42.86,6.39,3.02
