,Mar 2011,Mar 2012,Sep 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,330,455,768,404,201,375,371,333,250,107,36,43,47
Expenses +,259,432,703,423,240,381,373,338,261,127,41,43,48
Operating Profit,71,22,65,-19,-38,-6,-2,-5,-10,-20,-6,0,-0
OPM %,22%,5%,8%,-5%,-19%,-2%,-1%,-2%,-4%,-19%,-16%,0%,-1%
Other Income +,3,8,-10,-7,3,4,2,5,-88,-13,0,0,0
Interest,41,52,86,64,3,9,1,0,0,0,1,0,0
Depreciation,22,23,33,22,9,19,18,17,16,15,15,15,15
Profit before tax,11,-45,-64,-112,-47,-30,-19,-18,-115,-48,-21,-15,-15
Tax %,46%,30%,-19%,0%,0%,0%,-0%,0%,0%,-1%,0%,0%,
Net Profit,6,-31,-76,-112,-47,-30,-19,-18,-115,-49,-21,-15,-15
EPS in Rs,1.03,-4.45,-10.76,-15.82,-6.62,-4.24,-2.69,-2.55,-16.28,-6.89,-3.00,-2.07,-2.12
