,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,460,524,661,739,825,"1,042","2,020","2,185","2,094","1,915","2,052","1,945","2,474"
Expenses +,364,414,511,560,615,777,"1,337","1,256","1,300","1,332","1,446","1,681","1,900"
Operating Profit,96,109,150,179,210,266,683,928,795,583,606,264,574
OPM %,21%,21%,23%,24%,25%,25%,34%,42%,38%,30%,30%,14%,23%
Other Income +,-1,9,1,17,0,12,14,40,130,107,104,99,99
Interest,14,23,26,37,32,23,18,15,19,22,13,18,20
Depreciation,16,16,22,30,47,51,54,66,81,100,117,143,155
Profit before tax,65,80,102,129,132,204,624,887,825,569,580,202,498
Tax %,20%,26%,36%,24%,1%,24%,22%,22%,22%,19%,24%,16%,
Net Profit,52,58,66,98,130,156,485,695,642,458,442,170,407
EPS in Rs,3.80,3.83,4.58,6.21,8.10,9.02,27.88,37.74,35.24,25.31,24.18,9.31,22.30
