,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,86,86,86,86,86,86,86,86,86,86,86,86,86
Reserves,26,55,85,134,161,162,207,225,235,150,245,244,266
Borrowings +,98,231,245,401,336,255,337,397,263,239,102,43,125
Other Liabilities +,168,177,271,255,339,172,425,298,271,101,60,193,345
Total Liabilities,379,548,687,876,921,674,"1,055","1,006",855,575,493,566,821
Fixed Assets +,19,141,136,228,205,181,181,226,159,147,17,113,159
CWIP,0,0,37,0,0,4,0,0,1,2,3,2,26
Investments,1,2,1,6,4,5,17,9,56,35,43,42,41
Other Assets +,358,405,513,642,712,484,857,771,639,391,429,409,595
Total Assets,379,548,687,876,921,674,"1,055","1,006",855,575,493,566,821
