,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,173,217,259,322,390,411,454,519,610,687,785,922,"1,011"
Expenses +,135,169,206,246,304,323,361,397,479,520,569,707,793
Operating Profit,38,48,53,76,86,88,93,122,131,166,216,215,218
OPM %,22%,22%,20%,24%,22%,21%,21%,23%,22%,24%,28%,23%,22%
Other Income +,0,0,0,11,28,8,14,16,20,21,22,40,30
Interest,5,8,7,9,10,10,8,12,14,20,11,6,3
Depreciation,9,12,13,14,19,21,24,29,37,41,48,54,56
Profit before tax,23,29,33,63,85,65,75,97,100,126,180,195,190
Tax %,10%,33%,30%,30%,27%,27%,27%,27%,35%,24%,25%,25%,
Net Profit,22,19,24,45,62,48,55,71,65,96,136,147,141
EPS in Rs,2.46,2.21,2.75,5.11,7.07,5.47,6.25,8.00,7.41,10.86,14.17,15.28,14.72
