,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,87,93,89,95,96,89,86,92,101,97,85,100,107
Expenses +,75,78,79,85,86,80,82,90,94,91,81,95,101
Operating Profit,12,15,10,10,11,9,3,2,7,6,4,4,6
OPM %,14%,16%,11%,10%,11%,10%,4%,2%,7%,6%,4%,4%,6%
Other Income +,0,0,1,0,0,0,4,4,1,1,0,0,1
Interest,3,3,4,4,4,3,4,4,3,2,2,1,1
Depreciation,5,5,5,5,2,2,2,2,2,2,3,2,2
Profit before tax,4,7,1,0,5,3,1,-0,2,2,-0,1,4
Tax %,25%,13%,78%,-138%,33%,28%,91%,"8,600%",46%,34%,-71%,73%,
Net Profit,3,6,0,1,3,2,0,1,1,1,-1,0,2
EPS in Rs,3.49,6.98,0.57,1.34,3.84,2.47,0.29,1.04,1.45,1.47,-0.31,0.57,2.87
