,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,109,112,174,207,267,233,299,368,431,523,555,677,829
Expenses +,94,97,146,171,213,201,236,299,354,437,443,522,662
Operating Profit,16,16,28,35,54,32,63,69,76,85,112,154,167
OPM %,15%,14%,16%,17%,20%,14%,21%,19%,18%,16%,20%,23%,20%
Other Income +,1,1,0,-0,-16,4,-8,12,11,12,8,10,15
Interest,4,6,7,9,13,13,12,11,12,13,5,9,14
Depreciation,6,9,12,15,13,10,14,15,19,23,26,34,37
Profit before tax,7,2,9,11,13,12,29,56,56,61,89,121,131
Tax %,30%,29%,32%,22%,-17%,59%,33%,37%,36%,23%,27%,26%,
Net Profit,5,1,6,9,15,5,19,35,36,48,65,90,98
EPS in Rs,2.89,0.81,3.30,4.68,7.60,2.55,9.80,17.87,18.28,24.28,33.21,45.85,49.76
