,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,281","1,789","1,906","1,736","1,698","1,616","1,634","1,792","2,015","1,911","1,500","1,710","2,466"
Expenses +,"1,086","1,553","1,666","1,593","1,505","1,413","1,395","1,537","1,743","1,701","1,421","1,682","2,334"
Operating Profit,195,237,241,143,192,203,240,255,272,210,80,28,132
OPM %,15%,13%,13%,8%,11%,13%,15%,14%,14%,11%,5%,2%,5%
Other Income +,13,64,12,82,-31,138,56,93,24,25,-26,20,31
Interest,1,4,2,5,2,1,1,1,4,5,7,5,12
Depreciation,24,42,41,45,48,46,47,52,52,61,60,59,57
Profit before tax,183,255,211,175,111,294,249,295,240,169,-14,-17,94
Tax %,31%,26%,30%,30%,25%,32%,27%,32%,32%,25%,-36%,-95%,
Net Profit,126,189,148,123,84,201,181,202,163,127,-19,-35,59
EPS in Rs,5.17,7.74,6.06,5.05,3.42,8.23,7.40,8.28,6.74,5.59,-0.81,-1.52,2.39
