,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales +,667,711,997,"1,190","1,150","1,166","1,686","2,244","2,018","2,110","2,685","3,018"
Expenses +,602,648,847,"1,083","1,037",939,"1,308","2,010","1,781","1,774","2,203","2,572"
Operating Profit,65,63,150,108,113,227,378,234,237,337,482,446
OPM %,10%,9%,15%,9%,10%,19%,22%,10%,12%,16%,18%,15%
Other Income +,24,29,7,20,16,22,24,25,75,56,44,64
Interest,48,50,66,76,78,87,102,69,69,88,62,35
Depreciation,39,42,73,49,51,113,56,54,52,57,96,95
Profit before tax,1,1,19,3,0,47,244,136,192,247,368,380
Tax %,-214%,-44%,3%,-17%,-414%,-23%,24%,10%,9%,22%,27%,22%
Net Profit,4,1,18,3,1,58,186,122,175,193,270,296
EPS in Rs,0.47,0.11,2.27,0.38,0.18,7.22,23.02,15.12,21.65,23.88,33.42,36.56
